Name,ISIN,shareID,companyID,Symbol,name,name.hb
MIGDAL INSUR.,IL0010811656,1081165,1041,MGDL,MIGDAL INSURANCE & FINANCIAL HOLDINGS LTD.,מגדל ביטוח
NITSBA,IL0010812159,1081215,1043,NTBA,NITSBA HOLDINGS 1995 LTD.,נצבא
LUDAN,IL0010814395,1081439,1050,LUDN,LUDAN ENGINEERING CO. LTD.,לודן
BET SHEMESH,IL0010815616,1081561,1054,BSEN,BET SHEMESH ENGINES HOLDINGS (1997) LTD.,בית שמש
PLASSON INDUS,IL0010816036,1081603,1057,PLSN,PLASSON INDUSTRIES LTD.,פלסאון תעשיות
SUMMIT,IL0010816861,1081686,1060,SMT,SUMMIT REAL ESTATE HOLDINGS LTD,סאמיט
MEITAV DS,IL0010818438,1081843,1064,MTDS,MEITAV DASH INVESTMENTS LTD,מיטב דש
ITURAN,IL0010818685,1081868,1065,ITRN,ITURAN LOCATION AND CONTROL LTD.,איתוראן
SHIKUN & BINUI,IL0010819428,1081942,1068,SKBN,SHIKUN & BINUI LTD.,שיכון ובינוי
W.T.P.,IL0010819832,1081983,1070,WTPI,W.T.P. ISRAEL (WASTE TO PRODUCTS) LTD.,וו.טי.פי.
KELA INVEST-M,IL0010820079,1082007,1071,KLIN-M,KELA - INVESTMENT FNUD LTD,קלע השקעות-ש
INVENTECH,IL0010821143,1082114,1074,IVTC,INVENTECH CENTRAL HOTELS LTD,אינוונטק
MAGIC,IL0010823123,1082312,2026,MGIC,MAGIC SOFTWARE ENTERPRISES LTD.,מג'יק
ORCKIT-M,IL0010823461,1082346,2093,ORCT-M,ORCKIT COMMUNICATIONS LTD.,אורכית-ש
SCAILEX,IL0010823537,1082353,2009,SCIX,SCAILEX CORPORATION LTD.,סקיילקס
TOWER,IL0010823792,1082379,2028,TSEM,TOWER SEMICONDUCTOR LTD.,טאואר
GILAT,IL0010825102,1082510,2030,GILT,GILAT SATELLITE NETWORKS LTD.,גילת
EZCHIP,IL0010825441,1082544,2032,EZCH,EZCHIP SEMICONDUCTOR LTD.,איזיצ'יפ
ALON BLUE SQUAR,IL0010825516,1082551,2063,BSI,ALON BLUE SQUARE ISRAEL LTD,אלון רבוע כחול
TEFRON,IL0010825854,1082585,2076,TFRLF,TEFRON LTD.,תפרון
ELLOMAY,IL0010826357,1082635,2101,ELLO,ELLOMAY CAPITAL LTD,אלומיי
SILICOM,IL0010826928,1082692,2107,SILC,SILICOM LTD.,סיליקום
TAT TECHNO,IL0010827264,1082726,2110,TATT,TAT TECHNOLOGIES LTD,תאת טכנו
AUDIOCODES,IL0010829658,1082965,2134,AUDC,AUDIOCODES LTD.,אודיוקודס
CYREN,IL0010832371,1083237,2155,CYRN,CYREN LTD,סיירן
TOP SYSTEMS-L,IL0010833775,1083377,1081,TOPS-L,TOP RAMDOR SYSTEMS & COMPUTERS CO.(1990) LTD.,טופ מערכות-ס
TCHNOPLS VENT,IL0010834195,1083419,1082,TNPV,TECHNOPLUS VENTURES LTD,טכנופלס ונצרס
INTERNET GOLD,IL0010834435,1083443,2156,IGLD,INTERNET GOLD GOLDEN LINES LTD,אינטרנט זהב
PARTNER,IL0010834849,1083484,2095,PTNR,PARTNER COMMUNICATIONS COMPANY LTD.,פרטנר
NAAMAN,IL0010835754,1083575,1085,NAMN,NAAMAN GROUP(N.V) LTD.,נעמן
POLAR COMM,IL0010836331,1083633,1087,PLRC,POLAR COMMUNICATION LTD.,פולאר תקשורת
ELDAV,IL0010836588,1083658,1088,ELDAV,ELDAV INVESTMENTS LTD.,עילדב
DIRECT INSURANC,IL0010836828,1083682,1089,DIFI,DIRECT INSURANCE - FINANCIAL INVESTMENTS LTD.,ביטוח ישיר
UNITRONICS,IL0010838311,1083831,2170,UNIT,"UNITRONICS (1989)(R""G) LTD.",יוניטרוניקס
MARGING PURP-M,IL0010838568,1083856,1091,MRPR-M,COMPANY MARGING PURPOSE LTD,מטרת מיזוג-ש
NEXTGEN,IL0010839301,1083930,1092,NXGN,NEXTGEN BIOMED LTD,נקסט ג'ן
QUALITAU,IL0010839558,1083955,1093,QLTU,QUALITAU LTD.,קווליטאו
A.L.D.,IL0010840036,1084003,1094,ALD,A.L.D. ADVANCED LOGISTICS DEVELOPMENTS LTD.,אי.אל.די.
DELEK GROUP,IL0010841281,1084128,1095,DLEKG,DELEK GROUP LTD.,דלק קבוצה
DANYA CEBUS,IL0010841448,1084144,1096,DNYA,DANYA CEBUS LTD.,דניה סיבוס
TAMIR CAPITAL,IL0010843675,1084367,1102,TFVC,TAMIR FISHMAN VENTURE CAPITAL II LTD.,תמיר הון
JERUSALEM INVES,IL0010844335,1084433,1105,JTI,JERUSALEM TECHNOLOGY INVESTMENTS LTD,ג'רוסלם השקעות
ALVARION,IL0010844582,1084458,2173,ALVR,ALVARION LTD.,אלווריון
POALIM IBI,IL0010844822,1084482,1106,PIU,POALIM I.B.I-& UNDERWRITING LTD,פועלים איביאי
NOVA,IL0010845571,1084557,2177,NVMI,NOVA MEASURING INSTRUMENTS LTD.,נובה
HILAN,IL0010846983,1084698,1110,HLAN,HILAN LTD.,חילן
FINANC FORCE-M,IL0010847635,1084763,1111,FNFR-M,FINANCIAL FORCE LTD.,עילוי פיננסי-ש
A ONLINE-M,IL0010847890,1084789,1113,AOC-M,A-ONLINE CAPITAL (A.O.C) LTD.,אי אונליין-ש
BATM,IL0010849045,1084904,2135,BVC,BATM ADVANCED COMMUNICATIONS LTD,באטמ תקשורת
SYNEL,IL0010849532,1084953,1115,SNEL,SYNEL PAYWAY M.L.L LTD,סינאל
A.M.S.ELECTR-M,IL0010851413,1085141,1120,AMS-M,A.M.S. ELECTRONICS LTD.,אי.אם.אס-ש
CERAGON,IL0010851660,1085166,2185,CRNT,CERAGON NETWORKS LTD.,סרגון
COMPUGEN,IL0010852080,1085208,2188,CGEN,COMPUGEN LTD.,קומפיוגן
ARAN,IL0010852650,1085265,1122,ARAN,ARAN RESEARCH & DEVELOPMENT (1982) LTD.,ארן
R.H TECHNO,IL0010853641,1085364,1125,RHTCH,R.H TECHNOLOGIES LTD,ר.ה.טכנולוגיות
XTL BIO,IL0010854979,1085497,2190,XTLB,XTL BIOPHARMACEUTICALS LTD.,אקס טי אל
O.R.T.,IL0010862303,1086230,1135,ORTC,O.R.T TECHNOLOGIES LTD.,או.אר.טי
FOX,IL0010870223,1087022,1140,FOX,FOX-WIZEL LTD.,פוקס
SAPIENS,ANN7716A1513,1087659,1146,SPNS,SAPIENS INTERNATIONAL CORPORATION N.V,סאפיינס
EL AL,IL0010878242,1087824,1152,ELAL,EL AL ISRAEL AIRLINES LTD.,אל על
KARDAN N.V.,NL0000113652,1087949,1154,KRNV,KARDAN N.V.,קרדן אן.וי.
SPUNTECH,IL0010901176,1090117,1182,SPNTC,N.R. SPUNTECH INDUSTRIES LTD.,ספאנטק
TADIR GAN,IL0010901416,1090141,1185,TDGN,TADIR-GAN (PRECISION PRODUCTS) 1993 LTD.,תדיר גן
DIMRI,IL0010903156,1090315,1193,DIMRI,Y.H.DIMRI BUILDING & DEVELOPMENT LTD,דמרי
ELSPEC,IL0010903644,1090364,1194,ELSPC,ELSPEC ENGINEERING LTD.,אלספק
SHALAG,IL0010905474,1090547,1198,SALG,SHALAG INDUSTRIES LTD.,שלאג
POLYRAM,IL0010909435,1090943,1209,POLRM,POLYRAM (1999) LTD.,פולירם
MAYTRONICS,IL0010910656,1091065,1212,MTRN,MAYTRONICS LTD.,מיטרוניקס
LAPIDOT HEL L,IL0010912488,1091248,1216,LPHL.L,LAPIDOTH-HELETZ - LIMITD PARTNERSHIP,לפידות חלץ יהש
AFRICA PROERT.,IL0010913544,1091354,1172,AFPR,AFRICA ISRAEL PROPERTIES LTD,אפריקה נכסים
ARAD,IL0010916513,1091651,1219,ARD,ARAD LTD.,ארד
P.C.B TEC,IL0010916851,1091685,1221,PCBT,P.C.B. TECHNOLOGIES LTD.,פיסיבי טכנ
GOLAN PLASTIC,IL0010919335,1091933,1226,GLPL,GOLAN PLASTIC PRODUCTS LTD.,גולן פלסטיק
AMIR MARK.,IL0010922040,1092204,1232,AMRK,AMIR MARKETING AND INVESTMTS IN AGRICULTURE LTD.,עמיר שיווק
SPACE COM,IL0010923451,1092345,1132,SCC,SPACE-COMMUNICATION LTD.,חלל תקשורת
BGI,IL0010927098,1092709,1238,BGI,B.G.I INVESTMENTS (1961) LTD,בי.ג'י.איי
PLASTOFIL,IL0010928401,1092840,1240,PPIL,PLASTOPIL HAZOREA COMPANY LTD.,פלסטופיל
DOR ALON,IL0010932023,1093202,1072,DRAL,DOR ALON ENERGY IN ISRAEL (1988) LTD,דור אלון
D-PHARM,IL0010935588,1093558,2230,DPRM,D-PHARM LTD,די פארם
ELECTRA REAL E.,IL0010940448,1094044,1264,ELCRE,ELECTRA REAL ESTATE LTD,אלקטרה נדלן
KAMADA,IL0010941198,1094119,1267,KMDA,KAMADA LTD.,קמהדע
MY SIZE,USU890971067,1094168,1268,MYSZ,"MY SIZE, INC.",מיי סייז
BRIMAG,IL0010942832,1094283,1269,BRMG,BRIMAG DIGITAL AGE LTD,ברימאג
CAN FITE BIO,IL0010944739,1094473,1272,CANF,CAN FITE BIOPHARMA LTD,כן פייט ביופרמה
BRAM INDUS,IL0010945157,1094515,1274,BRAM,BRAM INDUSTRIES LTD,ברם תעשיות
SOHO REAL ES,IL0010946221,1094622,1279,SOHO,SOHO RAELESTATE LTD,סוהו נדלן
OPAL BALANCE,IL0010949860,1094986,1287,OPAL,OPAL BALANCE INVESTMENTS LTD,אופל בלאנס
THERAPIX BIO,IL0010951403,1095140,1292,THXBY,THERAPIX BIOSCIENCES LTD,תראפיקס ביו
BIO LIGHT,IL0010952237,1095223,1293,BOLT,BIO LIGHT ISRAELI LIFE SCIENCES INVESTMENTS LTD,ביו לייט
CAMTEK,IL0010952641,1095264,2174,CAMT,CAMTEK LTD.,קמטק
HADASIT BIO,IL0010954050,1095405,1294,HDST,HBL - HADASIT BIO HOLDINGS LTD,הדסית ביו
NEXTCOM,IL0010957855,1095785,1298,NXTM,NEXTCOM LTD,נקסטקום
PERION NETWORK,IL0010958192,1095819,2240,PERI,PERION NETWORK LTD.,פריון נטוורק
AIRPORT CITY,IL0010958358,1095835,1300,ARPT,AIRPORT CITY LTD,ארפורט סיטי
GINEGAR,IL0010958929,1095892,1301,GNGR,GINEGAR PLASTIC PRODUCTS LTD.,גניגר
USER TREND,IL0010960073,1096007,1304,USER,USER TREND LTD.,יוזר טרנד
BIO VIEW,IL0010960495,1096049,1305,BIOV,BIO VIEW LTD,ביו ויו
LEADER CAP,IL0010961063,1096106,1307,LDRC,LEADER CAPITAL MARKETS LTD.,לידר שוקי הון
GOLF,IL0010961485,1096148,1310,GOLF,GOLF & CO,גולף
MEDIGUS,IL0010961717,1096171,1311,MDGS,MEDIGUS LTD.,מדיגוס
DORSEL,IL0010966765,1096676,1312,DRSL,DORSEL (B.A.Z.) LTD.,דורסל
MEDICAL,IL0010968902,1096890,1318,MDCL,MEDICAL COMPRESSION SYSTEM (D.B.N) LTD,מדיקל
B.S.P.,IL0010970544,1097054,1320,BSP,B.S.P BIOLOGICAL SIGNAL PROCESSING LTD,בי.אס.פי
CAPITAL POINT,IL0010971468,1097146,1325,CPTP,CAPITAL POINT LTD,קפיטל פוינט
B.YAIR,IL0010972292,1097229,1289,BYAR,B.YAIR BUILDING CORPORATION 1988 LTD,ב.יאיר
BIG,IL0010972607,1097260,1327,BIG,BIG SHOPPING CENTERS LTD,ביג
AMOT,IL0010972789,1097278,1328,AMOT,AMOT INVESTMENTS LTD.,אמות
BUY2 NETWORKS,IL0010973449,1097344,1329,BUY2,BUY2 NETWORKS LTD,ביי2 נטוורקס
AFRICA RESIDENC,IL0010979487,1097948,1338,AFRE,AFRICA ISRAEL RESIDENCES LTD.,אפריקה מגורים
BLUE SQ REAL ES,IL0010985658,1098565,1349,BLSR,BLUE SQUARE REAL ESTATE LTD,רבוע נדלן
SUNFLOWER,IL0010987555,1098755,1062,SNFL,SUNFLOWER SUSTAINABLE INVESTMENTS LTD.,סאנפלאואר
REIT 1,IL0010989205,1098920,1357,RIT1,REIT 1 LTD,ריט 1
XENIA,IL0010995715,1099571,1364,XENA,XENIA VENTURE CAPITAL LTD.,קסניה
ALLOT COMMUNI,IL0010996549,1099654,2252,ALLT,ALLOT COMMUNICATIONS LTD,אלוט תקשורת
ZERAH     L,IL0010997612,1099761,1369,ZRAH.L,ZERAH OIL & GAZ EXPLORATIONS- L.P,זרח        יהש
MICRONET 0.1,IL0010997877,1099787,1370,MCRNL,MICRONET LTD,מיקרונט
PAZ OIL,IL0011000077,1100007,1363,PZOL,PAZ OIL COMPANY LTD.,פז נפט
BRAINSWAY,IL0011007189,1100718,1386,BRIN,BRAINSWAY LTD.,בריינסוויי
AVGOL,IL0011009573,1100957,1390,AVGL,AVGOL INDUSTRIES 1953 LTD.,אבגול
ENDYMED,IL0011010217,1101021,1391,ENDY,ENDYMED LTD.,אנדימד
ALLIUM MEDICAL,IL0011014508,1101450,1393,ALMD,ALLIUM MEDICAL SOLUTIONS LTD,אליום מדיקל
BIOLINE RX,IL0011015182,1101518,1394,BLRX,BIOLINE RX LTD.,ביוליין
CELLCOM,IL0011015349,1101534,2066,CEL,CELLCOM ISRAEL LTD.,סלקום
BABYLON,IL0011016669,1101666,1397,BBYL,BABYLON LTD.,בבילון
PRASHKOVSKY,IL0011021289,1102128,1330,PRSK,PRASHKOVSKY INVESTMENTS AND CONSTRUCTION LTD,פרשקובסקי
FRIDENSON,IL0011022196,1102219,1403,FRDN,FRIDENSON LOGISTIC SERVICES LTD,פרידנזון
SOLEGREEN,IL0011022352,1102235,1405,SLGN,SOLEGREEN LTD,סולגרין
ITAMAR,IL0011024580,1102458,1411,ITMR,ITAMAR MEDICAL LTD,איתמר
HANAN MOR,IL0011025322,1102532,1331,HNMR,HANAN MOR GROUP - HOLDINGS LTD,חנן מור
ORTAM SAHAR,IL0011034647,1103464,1424,ORTM,ORTAM SAHAR ENGINEERING LTD.,אורתם סהר
ORIAN,IL0011035065,1103506,1425,ORIN,ORIAN SH.M. LTD.,אוריין
SCHNAPP,IL0011035719,1103571,1427,SHNP,E.SCHNAPP CO. WORKS LTD.,שנפ
NISKO ELECTRI-L,IL0011036212,1103621,1429,NSEL-L,NISKO ELECTRICITY AND ELECTRONICS LTD.,ניסקו חשמל-ס
D.N.A BIOMED,IL0011038523,1103852,1435,DNA,D.N.A BIOMEDICAL SOLUTIONS LTD.,די.אן.איי ביומד
RAVAL,IL0011038788,1103878,1436,RVL,RAVAL ICS LTD,רבל
ZMH,IL0011040586,1104058,1442,ZMH,Z.M.H HAMMERMAN LTD,צמח המרמן
RAMI LEVI,IL0011042491,1104249,1445,RMLI,RAMI LEVI CHAIN STORES HASHIKMA MARKETING 2006 LTD,רמי לוי
CLAL BIOTECH,IL0011042806,1104280,1447,CBI,CLAL BIOTECHNOLOGY INDUSTRIES LTD,כלל ביוטכנו
ASHDAR,IL0011043143,1104314,1448,ASDR,ASHDAR BUILDING COMPANY LTD.,אשדר
INTERCOLONY-L,IL0011043630,1104363,1344,INTCL-L,INTERCOLONY INVESTMENTS LTD.,אינטרקולוני-ס
MEGA OR,IL0011044885,1104488,1450,MGOR,MEGA OR HOLDINGS LTD,מגה אור
ORAD,IL0011044968,1104496,1451,ORAD,ORAD LTD,אורד
GAON,IL0011047441,1104744,1452,GAON,B.GAON HOLDINGS LTD.,גאון אחזקות
HAMAMA,IL0011047854,1104785,1453,HMAM,HAMAMA MEIR TRADING (1996) LTD.,חממה סחר
EXALENZ,IL0011048688,1104868,1455,EXEN,EXALENZ BIOSCIENCE LTD,אקסלנז
HAMASHBIR 365,IL0011049595,1104959,1459,MSAH,HAMASHBIR 365 HOLDINGS LTD,המשביר 365
TGBR,IL0011050221,1105022,1460,TIGBUR,TIGBUR - TEMPORARY PROFESSIONAL PERSONNEL LTD,תיגבור
EVOGENE,IL0011050551,1105055,1461,EVGN,EVOGENE LTD,אבוג'ן
NETO MALINDA-L,IL0011050973,1105097,1463,NTML-L,NETO MALINDA TRADING LTD,נטו מלינדה-ס
MOBILE MAX-L,IL0011051393,1105139,1465,MBMX-L,MOBILE MAX TECHNOLOGIES LTD,מובייל מקס-ס
EDRI-EL,IL0011051625,1105162,1466,EDRL,EDRI-EL ISRAEL ASSETS LTD,אדרי-אל
MISHORIM,IL0011051963,1105196,1467,MSHR,MISHORIM DEVELOPMENT LTD,מישורים
BIONDVAX,IL0011052045,1105204,1468,BNDX,BIONDVAX PHARMACEUTICALS LTD,ביונדווקס
I.T.G.I,IL0011059073,1105907,1473,ITGI,I.T.G.I MEDICAL LTD,איטיג'יאי
INTERCURE,IL0011063760,1106376,1480,INCR,INTERCURE LTD,אינטרקיור
MASLAVI      -L,IL0011067498,1106749,1484,MSLA-L,MASLAVI CONSTRUCTION COMPANY LTD.,מצלאוי-ס
KMN CAPITAL,IL0011068066,1106806,1485,KMNK,KMN CAPITAL LTD.,קמן קפיטל
MAZOR ROBOTICS,IL0011068553,1106855,1487,MZOR,MAZOR ROBOTICS LTD,מזור רובוטיקה
B COMMUNICATION,IL0011076630,1107663,1422,BCOM,B COMMUNICATIONS LTD,בי קומיונקיישנס
SELLA REAL EST,IL0011096448,1109644,1514,SLARL,SELLA CAPITAL REAL ESTATE LTD,סלע נדלן
PLAZA CENTERS,NL0000686772,1109917,1476,PLAZ,PLAZA CENTERS N.V,פלאזה סנטר
TAMIR FISH   RE,IL0011161770,1116177,1529,TFRE,TAMIR FISHMAN REAL ESTATE FUND LTD,תמיר נדלן
ALON GAS,IL0011176885,1117688,1531,ALGS,ALON NATURAL GAS EXPLORATION LTD.,אלון גז
INTEC PHARMA,IL0011177958,1117795,1530,INTP,INTEC PHARMA LTD,אינטק פארמ
PROTEOLOGICS,IL0011181166,1118116,1532,PRTL,PROTEOLOGICS LTD,פרוטאולוגיקס
DORI      CONST,IL0011183220,1118322,1533,DRCN,U.DORI CONSTRUCTION LTD,דורי בניה
KARDAN REAL ES,IL0011184475,1118447,1083,KARE,KARDAN REAL ESTATE ENTERPRISE AND DEVELOPMENT LTD,קרדן נדלן
NEOCITY,IL0011184707,1118470,1408,NCT,NEOCITY GROUP FOR INVESTMENTS AND HOLDINGS LTD,נאוסיטי
LEVINSTEIN PROP,IL0011190803,1119080,1536,LVPR,LEVINSTEIN PROPERTIES LTD,לוינשטין נכסים
AZRIELI GROUP,IL0011194789,1119478,1420,AZRG,AZRIELI GROUP LTD,עזריאלי קבוצה
APOSENSE,IL0011195935,1119593,1545,APOS,APOSENSE LTD,אפוסנס
GLOB EXPLOR L,IL0011198335,1119833,1548,GLEX.L,GLOB EXPLORATION,גלוב אקספ   יהש
ISRAEL OP     L,IL0011199242,1119924,1551,ISOP.L,ISRAEL OPPORTUNITY ENERGY RESOURCES,הזדמנות יהש
INSULINE,IL0011201618,1120161,1550,INSL,INSULINE MEDICAL LTD,אינסוליין
PROTALIX,US74365A1016,1120609,1554,PLX,PROTALIX BIOTHERAPEUTICS INC,פרוטליקס
ILDC ENERGY,IL0011214744,1121474,1561,IE,THE ISRAEL LAND DEVELOPMENT COMPANY ENERGY LTD,הכשרה אנרגיה
BRACK CAPIT N V,NL0009690619,1121607,1560,BCNV,BRACK CAPITAL PROPERTIES N.V,בראק אן וי
PLURISTEM,US72940R1023,1121730,1569,PSTI,PLURISTEM THERAPEUTICS INC.,פלוריסטם
REDHILL,IL0011223810,1122381,1573,RDHL,REDHILL BIOPHARMA LTD,רדהיל
ICECURE MEDICAL,IL0011224156,1122415,1570,ICCM,ICECURE MEDICAL LTD,אייסקיור מדיקל
MEDIVIE,IL0011226540,1122654,1562,MDVI,MEDIVIE THERAPEUTIC LTD,מדיוי
G.F.C,IL0011226888,1122688,1568,GFC,G.F.C GREEN FIELDS CAPITAL LTD,ג'י.אף.סי
LIVEPERSON,US5381461012,1123017,1579,LPSN,LIVEPERSON INC.,לייבפרסון
ENERGIX,IL0011233553,1123355,1581,ENRG,ENERGIX-RENEWABLE ENERGIES LTD,אנרג'יקס
VICTORY,IL0011237778,1123777,1583,VCTR,VICTORY SUPERMARKET CHAIN LTD,ויקטורי
CARASSO,IL0011238503,1123850,1585,CRSO,CARASSO MOTORS LTD,קרסו
KARDEN YAZ,IL0011244782,1124478,1592,KRYT,KARDAN YAZAMUT (2011) LTD,קרדן יזמות
SHEMEN OIL& GAS,IL0011250128,1125012,1595,SOG,SHEMEN OIL AND GAS RESOURCES,שמן נפט וגז
PHOTOMEDEX,US7193583017,1126226,1599,PHMD,PHOTOMEDEX INC,פוטומדקס
BIOCANCELL,IL0011267882,1126788,1600,BICL,BIOCANCELL LTD,ביוקנסל
KADIMASTEM,IL0011284614,1128461,1606,KDST,KADIMASTEM LTD,קדימהסטם
MENDELSON    IF,IL0011294449,1129444,1247,MNIN,MENDELSON INFRASTRUCTURES & INDUSTRIES LTD,מנדלסוןתשת
SOMOTO,VGG826421023,1129451,1607,SMTO,SOMOTO LTD,סומוטו
IDI INSUR,IL0011295016,1129501,1608,IDIN,I.D.I. INSURANCE COMPANY LTD,איידיאיי ביטוח
OPKO HEALTH,US68375N1037,1129543,1610,OPK,"OPKO HEALTH,INC.",אופקו הלת'
PERRIGO,IE00BGH1M568,1130699,1612,PRGO,PERRIGO COMPANY PLC,פריגו
MEDITR TOWER,IL0011315236,1131523,1614,MDTR,MEDITERRANEAN TOWERS LTD,מגדלי תיכון
SKYLINE,CA83084Y1007,1131556,1613,SKLN,SKYLINE INTERNATIONAL DEVELOPMENT INC,סקייליין
ASHTROM GROUP,IL0011323156,1132315,1618,ASHG,ASHTROM GROUP LTD,אשטרום קבוצה
INROM CONST,IL0011323560,1132356,1616,INRM,INROM CONSTRUCTION INDUSTRIES LTD,אינרום
GMUL INVESTMENT,IL0011330813,1133081,1134,GMUL,GMUL INVESTMENT COMPANY LTD.,גמול השקעות
SHAPIR      ENG,IL0011338758,1133875,1633,SPEN,SHAPIR ENGINEERIG INDUSTRY LTD,שפיר הנדסה
KENON,SG9999012629,1134139,1635,KEN,KENON HOLDINGS LTD,קנון
ORA,US6866881021,1134402,2250,ORA,"ORMAT TECHNOLOG,INC",אורמת טכנו
MAAYAN VENTUR-M,IL0011351694,1135169,1286,MAYN-M,MAAYAN VENTURES LTD,מעין ונצ'רס - ש
KARDAN ISRAEL,IL0012100793,1210079,121,KRIS,KARDAN ISRAEL LTD.,קרדן ישראל
ADGAR INV.,IL0018200837,1820083,182,ADGR,ADGAR INVESTMENT & DEVELOPMENT LTD,אדגר
BAZAN,IL0025902482,2590248,259,ORL,OIL REFINERIES LTD.,בזן
ELECTRA CO  PR,IL0050101299,5010129,501,ECP,ELECTRA CONSUMER PRODUCTS LTD.,אלקטרה צריכה
IDB DEVELOPM.,IL0079802042,7980204,798,IDBD,IDB DEVELOPMENT CORPORATION LTD.,אידיבי פתוח
